house,date,aggregate_kwh,mains_daily_kwh,selected_appliances_daily_kwh,estimated_cost_day_aud,rows
2,2013-09-23,8.8398,8.8398,13.7231,2.65,14252
2,2013-09-24,6.8751,6.8751,45.8152,2.06,14245
2,2013-09-25,10.3999,10.3999,42.3044,3.12,14160
2,2013-09-26,6.7778,6.7778,72.0685,2.03,13669
2,2013-09-27,5.9134,5.9134,68.9352,1.77,12580
2,2013-09-28,11.9518,11.9518,45.0627,3.59,13958
2,2013-09-29,14.431,14.431,50.5671,4.33,14092
2,2013-09-30,8.3279,8.3279,45.0976,2.5,14196
2,2013-10-01,6.1292,6.1292,66.855,1.84,14319
2,2013-10-02,8.466,8.466,52.2826,2.54,14006
2,2013-10-03,6.2286,6.2286,41.34,1.87,12660
2,2013-10-04,5.0437,5.0437,26.3183,1.51,12521
2,2013-10-05,7.7945,7.7945,50.0802,2.34,12621
2,2013-10-06,12.1971,12.1971,79.1762,3.66,12983
2,2013-10-07,8.3659,8.3659,58.2125,2.51,12743
2,2013-10-08,7.3999,7.3999,43.1017,2.22,12332
2,2013-10-09,7.4125,7.4125,46.1341,2.22,12408
2,2013-10-10,6.2247,6.2247,40.3952,1.87,11684
2,2013-10-11,8.9053,8.9053,46.3006,2.67,12274
2,2013-10-12,11.1647,11.1647,64.1889,3.35,12563
2,2013-10-13,9.1194,9.1194,74.3699,2.74,12384
2,2013-10-14,6.8665,6.8665,53.2723,2.06,12154
2,2013-10-15,6.6052,6.6052,58.9474,1.98,11919
2,2013-10-16,4.9349,4.9349,51.8297,1.48,12018
2,2013-10-17,3.0214,3.0214,35.4,0.91,11931
2,2013-10-18,1.7926,1.7926,28.3572,0.54,12397
2,2013-10-19,1.5825,1.5825,53.723,0.47,12275
2,2013-10-20,5.5182,5.5182,63.2947,1.66,11824
2,2013-10-21,9.1261,9.1261,46.3506,2.74,11862
2,2013-10-22,5.6116,5.6116,45.1351,1.68,11500
2,2013-10-23,11.6544,11.6544,52.4598,3.5,12204
2,2013-10-24,6.8989,6.8989,41.4633,2.07,11743
2,2013-10-25,4.3665,4.3665,35.0209,1.31,6156
2,2013-12-26,0.9031,0.9031,7.318,0.27,1300
2,2014-02-13,0.2071,0.2071,0.5689,0.06,177
2,2014-02-14,0.2808,0.2808,1.1096,0.08,393
2,2014-02-15,0.0378,0.0378,1.1366,0.01,297
2,2014-02-16,0.0786,0.0786,2.1658,0.02,402
2,2014-02-17,0.116,0.116,3.0456,0.03,425
2,2014-02-18,0.1392,0.1392,2.3867,0.04,433
2,2014-02-19,0.3447,0.3447,3.1141,0.1,428
2,2014-02-20,4.8285,4.8285,15.452,1.45,4086
2,2014-02-21,4.8533,4.8533,29.0179,1.46,6988
2,2014-02-22,0.3348,0.3348,4.1003,0.1,1158
2,2014-02-24,2.8079,2.8079,12.0287,0.84,2274
2,2014-02-26,1.5167,1.5167,17.542,0.46,3271
2,2014-02-27,5.4478,5.4478,43.425,1.63,8128
2,2014-02-28,5.5585,5.5585,41.2531,1.67,11986
2,2014-03-01,2.0794,2.0794,59.325,0.62,13358
2,2014-03-02,4.1003,4.1003,77.981,1.23,12878
2,2014-03-03,7.7591,7.7591,45.675,2.33,12110
2,2014-03-04,7.7474,7.7474,51.805,2.32,12634
2,2014-03-05,8.6489,8.6489,68.3215,2.59,12256
2,2014-03-06,8.3676,8.3676,68.7128,2.51,12469
2,2014-03-07,8.4691,8.4691,51.3181,2.54,11779
2,2014-03-08,11.8274,11.8274,62.0686,3.55,12889
2,2014-03-09,9.7736,9.7736,64.8035,2.93,13232
2,2014-03-10,7.4661,7.4661,62.5068,2.24,11734
2,2014-03-11,8.978,8.978,43.6852,2.69,12787
2,2014-03-12,6.8686,6.8686,46.0587,2.06,12327
2,2014-03-13,7.4006,7.4006,40.6843,2.22,12836
2,2014-03-14,8.528,8.528,62.6475,2.56,12695
2,2014-03-15,13.7471,13.7471,76.2345,4.12,13245
2,2014-03-16,24.1592,24.1592,70.1617,7.25,13181
2,2014-03-17,8.2765,8.2765,55.1011,2.48,12729
2,2014-03-18,7.0219,7.0219,50.7254,2.11,12713
2,2014-03-19,7.926,7.926,61.9245,2.38,13142
2,2014-03-20,7.7333,7.7333,57.2056,2.32,12670
2,2014-03-21,8.1464,8.1464,49.987,2.44,12179
2,2014-03-22,16.3375,16.3375,63.7816,4.9,14097
2,2014-03-23,12.831,12.831,50.4404,3.85,14199
2,2014-03-24,8.5703,8.5703,39.6357,2.57,14126
2,2014-03-25,8.1218,8.1218,40.4785,2.44,14238
2,2014-03-26,9.6047,9.6047,69.3686,2.88,14208
2,2014-03-27,10.6774,10.6774,67.0871,3.2,14284
2,2014-03-28,8.6692,8.6692,65.858,2.6,14202
2,2014-03-29,6.3312,6.3312,54.1182,1.9,14506
2,2014-03-30,8.5728,8.5728,45.9694,2.57,13642
2,2014-03-31,8.4882,8.4882,49.668,2.55,13131
2,2014-04-01,8.3931,8.3931,44.5628,2.52,13611
2,2014-04-02,6.2923,6.2923,43.3862,1.89,11943
2,2014-04-03,8.9817,8.9817,55.1498,2.69,12802
2,2014-04-04,8.1492,8.1492,43.1356,2.44,12992
2,2014-04-05,9.3148,9.3148,51.8195,2.79,14388
2,2014-04-06,8.1485,8.1485,43.1264,2.44,14239
2,2014-04-07,9.0616,9.0616,54.8288,2.72,12626
2,2014-04-08,4.4497,4.4497,35.8777,1.33,9524
2,2014-04-09,10.9595,10.9595,53.8768,3.29,11987
2,2014-04-10,9.0797,9.0797,48.3647,2.72,11841
2,2014-04-11,5.6319,5.6319,45.455,1.69,12994
2,2014-04-12,9.8486,9.8486,42.2263,2.95,14192
2,2014-04-13,8.1988,8.1988,52.8238,2.46,14311
2,2014-04-14,7.083,7.083,53.7582,2.12,13008
2,2014-04-15,8.8595,8.8595,57.1677,2.66,12781
2,2014-04-16,8.5016,8.5016,58.5503,2.55,13182
2,2014-04-17,8.5629,8.5629,52.8038,2.57,12028
2,2014-04-18,6.2079,6.2079,37.7123,1.86,10499
2,2014-04-19,2.2697,2.2697,42.2793,0.68,12478
2,2014-04-20,2.2113,2.2113,59.837,0.66,12463
2,2014-04-21,4.0778,4.0778,70.8462,1.22,12649
2,2014-04-22,8.4805,8.4805,54.3087,2.54,13084
2,2014-04-23,8.9164,8.9164,45.2724,2.67,13450
2,2014-04-24,8.2262,8.2262,66.0192,2.47,13298
2,2014-04-25,9.6288,9.6288,42.6819,2.89,13611
2,2014-04-26,6.2436,6.2436,38.32,1.87,12605
2,2014-04-27,18.4317,18.4317,45.9269,5.53,12503
2,2014-04-28,9.6052,9.6052,47.4103,2.88,13605
2,2014-04-29,8.2008,8.2008,58.6207,2.46,13695
2,2014-04-30,7.6312,7.6312,45.4926,2.29,13393
2,2014-05-01,9.3032,9.3032,44.3004,2.79,13416
2,2014-05-02,6.184,6.184,50.0558,1.86,11627
2,2014-05-03,6.8462,6.8462,41.8812,2.05,12306
2,2014-05-04,8.1156,8.1156,57.4842,2.43,12425
2,2014-05-05,8.1835,8.1835,43.9666,2.46,12837
2,2014-05-06,7.7804,7.7804,50.6533,2.33,13079
2,2014-05-07,6.4471,6.4471,52.258,1.93,12902
2,2014-05-08,5.7194,5.7194,50.657,1.72,11630
2,2014-05-09,7.8862,7.8862,54.1629,2.37,12010
2,2014-05-10,15.0232,15.0232,41.234,4.51,10849
2,2014-05-11,9.0828,9.0828,44.0438,2.72,10583
2,2014-05-12,9.0671,9.0671,50.1725,2.72,12931
2,2014-05-13,7.3941,7.3941,64.5334,2.22,14270
2,2014-05-14,6.5302,6.5302,67.6921,1.96,13216
2,2014-05-15,8.218,8.218,71.8695,2.47,13421
2,2014-05-16,4.6188,4.6188,71.9926,1.39,11811
2,2014-05-17,4.8614,4.8614,61.2904,1.46,10676
2,2014-05-18,10.3243,10.3243,72.4419,3.1,10899
2,2014-05-19,9.5946,9.5946,91.0614,2.88,13102
2,2014-05-20,7.6921,7.6921,62.9092,2.31,13903
2,2014-05-21,13.6534,13.6534,53.043,4.1,12560
2,2014-05-22,6.6939,6.6939,51.5097,2.01,12875
2,2014-05-23,7.9018,7.9018,45.5973,2.37,11753
2,2014-05-24,7.2666,7.2666,35.1611,2.18,10782
2,2014-05-25,9.9737,9.9737,78.0907,2.99,11080
2,2014-05-26,10.3754,10.3754,59.8274,3.11,12223
2,2014-05-27,4.5987,4.5987,35.4875,1.38,12118
2,2014-05-28,7.146,7.146,47.596,2.14,12718
2,2014-05-29,19.4762,19.4762,42.3298,5.84,12025
2,2014-05-30,6.3398,6.3398,46.2336,1.9,12630
2,2014-05-31,7.4282,7.4282,44.4067,2.23,11765
2,2014-06-01,7.1039,7.1039,51.8808,2.13,11527
2,2014-06-02,7.3639,7.3639,53.0355,2.21,12917
2,2014-06-03,6.971,6.971,61.4953,2.09,12332
2,2014-06-04,8.9351,8.9351,58.8959,2.68,13183
2,2014-06-05,7.875,7.875,44.2271,2.36,13732
2,2014-06-06,7.761,7.761,79.3294,2.33,14027
2,2014-06-07,4.4118,4.4118,102.1241,1.32,14388
2,2014-06-08,3.9493,3.9493,89.2851,1.18,14077
2,2014-06-09,10.7009,10.7009,67.9058,3.21,14023
2,2014-06-10,8.8756,8.8756,67.6095,2.66,13980
2,2014-06-11,19.6344,19.6344,63.6475,5.89,13943
2,2014-06-12,6.1693,6.1693,63.92,1.85,13980
2,2014-06-13,9.078,9.078,75.1955,2.72,14326
2,2014-06-14,11.2265,11.2265,57.1366,3.37,14082
2,2014-06-15,9.5382,9.5382,46.7359,2.86,14153
2,2014-06-16,7.2225,7.2225,65.2111,2.17,13526
2,2014-06-17,9.5481,9.5481,72.7484,2.86,13413
2,2014-06-18,6.4973,6.4973,54.8216,1.95,14356
2,2014-06-19,9.7929,9.7929,52.3144,2.94,14342
2,2014-06-20,4.9253,4.9253,70.1399,1.48,14223
2,2014-06-21,9.9023,9.9023,60.6886,2.97,12539
2,2014-06-22,9.173,9.173,51.1405,2.75,12186
2,2014-06-23,7.0677,7.0677,58.3208,2.12,13352
2,2014-06-24,9.4443,9.4443,60.0476,2.83,13989
2,2014-06-25,8.7145,8.7145,63.0443,2.61,14096
2,2014-06-26,6.4901,6.4901,58.5978,1.95,11896
2,2014-06-27,4.132,4.132,23.0059,1.24,11192
2,2014-06-28,1.7716,1.7716,32.0582,0.53,9788
2,2014-06-29,12.6991,12.6991,39.3926,3.81,9857
2,2014-06-30,12.1563,12.1563,49.371,3.65,11400
2,2014-07-01,5.1014,5.1014,40.8194,1.53,10031
2,2014-07-02,9.7622,9.7622,51.0029,2.93,9611
2,2014-07-03,8.0314,8.0314,57.5133,2.41,10012
2,2014-07-04,5.861,5.861,48.2524,1.76,10497
2,2014-07-05,5.9787,5.9787,53.8182,1.79,9605
2,2014-07-06,7.8233,7.8233,46.4294,2.35,10049
2,2014-07-07,4.6144,4.6144,30.394,1.38,9508
2,2014-07-08,6.6567,6.6567,39.7261,2.0,12887
2,2014-07-09,4.6296,4.6296,45.2209,1.39,9943
2,2014-07-10,5.1499,5.1499,41.2772,1.54,10737
2,2014-07-11,5.8822,5.8822,49.0992,1.76,10529
2,2014-07-12,14.3043,14.3043,45.267,4.29,9856
2,2014-07-13,7.2606,7.2606,49.8342,2.18,9468
2,2014-07-14,5.6972,5.6972,66.487,1.71,11725
2,2014-07-15,4.8396,4.8396,45.3813,1.45,9670
2,2014-07-16,4.989,4.989,47.4074,1.5,9690
2,2014-07-17,5.7366,5.7366,61.2462,1.72,10546
2,2014-07-18,5.0125,5.0125,43.2933,1.5,9670
2,2014-07-19,5.8292,5.8292,48.1579,1.75,10075
2,2014-07-20,3.7298,3.7298,43.6184,1.12,8773
2,2014-07-21,6.2419,6.2419,37.132,1.87,10126
2,2014-07-22,5.7596,5.7596,32.3794,1.73,9658
2,2014-07-23,5.0666,5.0666,38.3127,1.52,10681
2,2014-07-24,12.6791,12.6791,30.9464,3.8,10131
2,2014-07-25,5.8411,5.8411,42.7005,1.75,10096
2,2014-07-26,5.548,5.548,25.5329,1.66,11674
2,2014-07-27,2.4493,2.4493,11.6249,0.73,11662
2,2014-07-28,2.3694,2.3694,13.8213,0.71,11458
2,2014-07-29,2.0808,2.0808,14.2777,0.62,10185
2,2014-07-30,2.0262,2.0262,16.683,0.61,10179
2,2014-07-31,2.1427,2.1427,35.5756,0.64,10645
2,2014-08-01,1.6048,1.6048,43.1776,0.48,7989
2,2014-08-02,4.5065,4.5065,28.3798,1.35,5707
2,2014-08-03,8.8024,8.8024,39.1204,2.64,9824
2,2014-08-04,5.5381,5.5381,39.6568,1.66,10211
2,2014-08-05,5.5556,5.5556,53.0909,1.67,12227
2,2014-08-06,5.1234,5.1234,45.9472,1.54,9468
2,2014-08-07,4.5603,4.5603,50.1416,1.37,9344
2,2014-08-08,6.0101,6.0101,47.1447,1.8,10769
2,2014-08-09,8.3581,8.3581,39.8714,2.51,10149
2,2014-08-10,5.2268,5.2268,36.9622,1.57,10242
2,2014-08-11,8.4277,8.4277,42.2943,2.53,13019
2,2014-08-12,8.3546,8.3546,50.1688,2.51,13902
2,2014-08-13,7.7882,7.7882,36.5239,2.34,10092
2,2014-08-14,6.9108,6.9108,42.6563,2.07,10032
2,2014-08-15,5.0067,5.0067,46.2739,1.5,10730
2,2014-08-16,9.0784,9.0784,63.6631,2.72,10068
2,2014-08-17,8.4772,8.4772,54.5034,2.54,10179
2,2014-08-18,6.1476,6.1476,42.6434,1.84,11418
2,2014-08-19,9.5173,9.5173,49.556,2.86,12401
2,2014-08-20,6.6445,6.6445,40.3823,1.99,10660
2,2014-08-21,5.9452,5.9452,40.0095,1.78,10376
2,2014-08-22,1.9134,1.9134,22.8226,0.57,10325
2,2014-08-23,1.904,1.904,42.8741,0.57,10222
2,2014-08-24,1.9193,1.9193,42.76,0.58,10287
2,2014-08-25,2.0412,2.0412,33.9877,0.61,11097
2,2014-08-26,2.028,2.028,16.8666,0.61,11125
2,2014-08-27,1.9033,1.9033,9.6837,0.57,10479
2,2014-08-28,1.9164,1.9164,30.5009,0.57,10214
2,2014-08-29,1.8939,1.8939,57.6123,0.57,10148
2,2014-08-30,1.0763,1.0763,41.1162,0.32,6179
2,2014-08-31,0.3566,0.3566,16.7266,0.11,2547
2,2014-09-01,6.7299,6.7299,36.4609,2.02,7859
2,2014-09-02,7.795,7.795,27.747,2.34,10878
2,2014-09-03,7.5567,7.5567,49.247,2.27,10899
2,2014-09-04,7.3602,7.3602,60.3253,2.21,10943
2,2014-09-05,7.7991,7.7991,50.7571,2.34,10846
2,2014-09-06,4.1179,4.1179,39.7136,1.24,11126
2,2014-09-07,11.43,11.43,79.6135,3.43,14069
2,2014-09-08,8.1636,8.1636,72.6777,2.45,11343
2,2014-09-09,7.7076,7.7076,59.2093,2.31,11607
2,2014-09-10,6.9486,6.9486,46.3458,2.08,10343
2,2014-09-11,4.8911,4.8911,39.751,1.47,10218
2,2014-09-12,4.0268,4.0268,33.2196,1.21,10100
2,2014-09-13,1.7394,1.7394,13.7258,0.52,9878
2,2014-09-14,1.8529,1.8529,21.4652,0.56,10069
2,2014-09-15,13.7811,13.7811,32.8469,4.13,10247
2,2014-09-16,6.3098,6.3098,57.2733,1.89,10584
2,2014-09-17,8.1435,8.1435,56.8841,2.44,9644
3,2013-09-25,1.4278,1.4278,22.6714,0.43,2724
3,2013-09-26,12.4294,12.4294,85.0852,3.73,14163
3,2013-09-27,12.407,12.407,70.9014,3.72,13602
3,2013-09-28,18.049,18.049,65.0002,5.41,14254
3,2013-09-29,15.3158,15.3158,76.2061,4.59,13767
3,2013-09-30,4.2703,4.2703,33.9217,1.28,5925
3,2013-10-02,2.0169,2.0169,17.2814,0.61,9499
3,2013-10-03,2.8866,2.8866,28.4966,0.87,13489
3,2013-10-04,7.0515,7.0515,35.0294,2.12,14307
3,2013-10-05,5.8979,5.8979,40.629,1.77,14392
3,2013-10-06,9.5184,9.5184,45.4348,2.86,14375
3,2013-10-07,5.3753,5.3753,49.3893,1.61,13922
3,2013-10-08,7.2666,7.2666,53.6007,2.18,14322
3,2013-10-09,5.9775,5.9775,55.39,1.79,13744
3,2013-10-10,6.1866,6.1866,61.9388,1.86,14180
3,2013-10-11,5.0522,5.0522,67.7523,1.52,14369
3,2013-10-12,4.9965,4.9965,70.5968,1.5,14360
3,2013-10-13,4.8833,4.8833,74.7623,1.46,14339
3,2013-10-14,4.9858,4.9858,78.8608,1.5,14277
3,2013-10-15,7.3376,7.3376,83.9172,2.2,14297
3,2013-10-16,7.043,7.043,90.1688,2.11,14347
3,2013-10-17,8.0111,8.0111,91.9907,2.4,14332
3,2013-10-18,6.0278,6.0278,98.1791,1.81,14370
3,2013-10-19,5.719,5.719,100.4646,1.72,14357
3,2013-10-20,6.5577,6.5577,105.6519,1.97,14312
3,2013-10-21,4.9466,4.9466,106.9669,1.48,14060
3,2013-10-22,5.2057,5.2057,113.3201,1.56,14327
3,2013-10-23,12.4174,12.4174,100.6457,3.73,14279
3,2013-10-24,15.5005,15.5005,62.379,4.65,14310
3,2013-10-25,11.3379,11.3379,52.1169,3.4,14321
3,2013-10-26,10.9098,10.9098,63.8389,3.27,13797
3,2013-10-27,14.3112,14.3112,86.5693,4.29,14565
3,2013-10-28,10.1885,10.1885,83.5704,3.06,14134
3,2013-10-29,19.2344,19.2344,65.7821,5.77,14256
3,2013-10-30,15.1712,15.1712,65.5609,4.55,14268
3,2013-10-31,10.419,10.419,61.0979,3.13,14330
3,2013-11-01,19.1926,19.1926,70.001,5.76,14351
3,2013-11-02,21.2905,21.2905,66.1297,6.39,14281
3,2013-11-03,21.3322,21.3322,66.5324,6.4,14337
3,2013-11-04,14.5976,14.5976,63.4561,4.38,14189
3,2013-11-05,19.5928,19.5928,65.2694,5.88,13721
3,2013-11-06,10.7149,10.7149,47.7799,3.21,11249
3,2013-11-07,2.3423,2.3423,18.034,0.7,4657
3,2013-11-08,3.6635,3.6635,23.4918,1.1,5384
3,2013-11-09,9.1925,9.1925,44.5745,2.76,11948
3,2013-11-10,13.3178,13.3178,51.8798,4.0,13748
3,2013-11-11,14.2646,14.2646,68.2943,4.28,13200
3,2013-11-12,13.5449,13.5449,60.5717,4.06,12627
3,2013-11-13,11.1792,11.1792,75.4671,3.35,12483
3,2013-11-14,10.4286,10.4286,35.4856,3.13,11865
3,2013-11-15,10.209,10.209,40.9568,3.06,12776
3,2013-11-16,9.9826,9.9826,50.3177,2.99,12218
3,2013-11-17,6.4715,6.4715,60.5999,1.94,12316
3,2013-11-18,16.106,16.106,69.7216,4.83,14029
3,2013-11-19,17.3818,17.3818,57.9878,5.21,13449
3,2013-11-20,12.9711,12.9711,57.1864,3.89,12625
3,2013-11-21,11.6426,11.6426,55.2058,3.49,12659
3,2013-11-22,11.4225,11.4225,60.506,3.43,12356
3,2013-11-23,9.4285,9.4285,53.1015,2.83,11379
3,2013-11-24,8.547,8.547,78.8984,2.56,11891
3,2013-11-25,17.0345,17.0345,65.4099,5.11,12826
3,2013-11-26,10.3127,10.3127,76.5434,3.09,10960
3,2013-11-27,9.0586,9.0586,63.204,2.72,11033
3,2013-11-28,13.2192,13.2192,63.498,3.97,11353
3,2013-11-29,8.369,8.369,62.8957,2.51,11207
3,2013-11-30,7.6113,7.6113,50.1593,2.28,11257
3,2013-12-01,7.4784,7.4784,52.3586,2.24,10769
3,2013-12-02,8.5609,8.5609,53.9529,2.57,10489
3,2013-12-03,10.1917,10.1917,57.5163,3.06,11131
3,2013-12-04,10.4824,10.4824,49.0385,3.14,10810
3,2013-12-05,10.225,10.225,47.6175,3.07,11600
3,2013-12-06,10.3079,10.3079,59.7271,3.09,12816
3,2013-12-07,10.1887,10.1887,50.2668,3.06,11045
3,2013-12-08,13.3713,13.3713,62.2838,4.01,10272
3,2013-12-09,9.8082,9.8082,58.7579,2.94,10024
3,2013-12-10,16.7798,16.7798,57.4468,5.03,10157
3,2013-12-11,9.3817,9.3817,38.3432,2.81,10077
3,2013-12-12,16.71,16.71,46.6987,5.01,12448
3,2013-12-13,11.4854,11.4854,67.9864,3.45,13066
3,2013-12-14,9.3339,9.3339,60.7595,2.8,12236
3,2013-12-15,12.6457,12.6457,71.2255,3.79,12455
3,2013-12-16,8.6589,8.6589,57.3076,2.6,11937
3,2013-12-17,18.7841,18.7841,64.272,5.64,12514
3,2013-12-18,9.7069,9.7069,47.9444,2.91,13583
3,2013-12-19,9.2054,9.2054,77.1799,2.76,13925
3,2013-12-20,24.201,24.201,65.8808,7.26,13911
3,2013-12-21,12.9299,12.9299,43.635,3.88,10761
3,2013-12-22,9.5389,9.5389,37.4761,2.86,10555
3,2013-12-23,19.2993,19.2993,59.5937,5.79,12730
3,2013-12-24,12.9094,12.9094,64.7643,3.87,12978
3,2013-12-25,11.0078,11.0078,55.4809,3.3,13267
3,2013-12-26,24.4305,24.4305,69.7784,7.33,13476
3,2013-12-27,22.0426,22.0426,69.6649,6.61,14236
3,2013-12-28,11.5805,11.5805,55.8587,3.47,14048
3,2013-12-29,11.7389,11.7389,71.3332,3.52,14081
3,2013-12-30,17.6117,17.6117,69.1368,5.28,13993
3,2013-12-31,10.6806,10.6806,46.9017,3.2,14225
3,2014-01-01,16.8385,16.8385,62.9816,5.05,14002
3,2014-01-02,15.387,15.387,66.931,4.62,14231
3,2014-01-03,14.8282,14.8282,67.6561,4.45,14148
3,2014-01-04,13.6114,13.6114,59.8764,4.08,14138
3,2014-01-05,19.8565,19.8565,50.3821,5.96,13770
3,2014-01-06,13.933,13.933,36.4797,4.18,13849
3,2014-01-07,11.7602,11.7602,41.1604,3.53,14188
3,2014-01-08,13.6395,13.6395,43.9013,4.09,13489
3,2014-01-09,18.0856,18.0856,62.4491,5.43,13207
3,2014-01-10,12.5203,12.5203,61.9913,3.76,14124
3,2014-01-11,21.6813,21.6813,59.6657,6.5,14181
3,2014-01-12,11.4548,11.4548,88.3505,3.44,14018
3,2014-01-13,27.1445,27.1445,54.7376,8.14,13677
3,2014-01-14,17.7954,17.7954,78.1297,5.34,14060
3,2014-01-15,16.4911,16.4911,57.2005,4.95,14153
3,2014-01-16,14.2687,14.2687,57.9585,4.28,14119
3,2014-01-17,15.9999,15.9999,57.0955,4.8,14117
3,2014-01-18,13.0304,13.0304,63.8228,3.91,14030
3,2014-01-19,16.3658,16.3658,75.8336,4.91,14123
3,2014-01-20,39.4611,39.4611,65.1891,11.84,13782
3,2014-01-21,19.2414,19.2414,49.3782,5.77,13619
3,2014-01-22,11.1235,11.1235,47.0606,3.34,14039
3,2014-01-23,7.8539,7.8539,67.6315,2.36,14067
3,2014-01-24,0.9628,0.9628,5.4561,0.29,1030
3,2014-03-06,2.5547,2.5547,9.0977,0.77,4553
3,2014-03-07,7.4151,7.4151,70.3505,2.22,14188
3,2014-03-08,18.8026,18.8026,60.1082,5.64,14034
3,2014-03-09,12.595,12.595,55.4731,3.78,14344
3,2014-03-10,13.1772,13.1772,60.9584,3.95,14028
3,2014-03-11,18.1413,18.1413,65.2526,5.44,14194
3,2014-03-12,16.738,16.738,57.9587,5.02,13609
3,2014-03-13,11.885,11.885,47.3537,3.57,14203
3,2014-03-14,10.5934,10.5934,50.5446,3.18,13832
3,2014-03-15,16.132,16.132,59.0988,4.84,13957
3,2014-03-16,12.551,12.551,75.0305,3.77,14370
3,2014-03-17,27.8357,27.8357,75.3583,8.35,13868
3,2014-03-18,19.4351,19.4351,61.6124,5.83,14013
3,2014-03-19,16.975,16.975,60.6888,5.09,14253
3,2014-03-20,14.5731,14.5731,56.2566,4.37,14229
3,2014-03-21,9.4253,9.4253,77.5556,2.83,14260
3,2014-03-22,13.4477,13.4477,99.577,4.03,14231
3,2014-03-23,8.186,8.186,95.0375,2.46,14294
3,2014-03-24,11.9373,11.9373,60.032,3.58,14072
3,2014-03-25,11.2756,11.2756,78.2234,3.38,14189
3,2014-03-26,10.2432,10.2432,104.9445,3.07,14219
3,2014-03-27,22.6168,22.6168,64.7846,6.79,14182
3,2014-03-28,12.3559,12.3559,37.5646,3.71,14073
3,2014-03-29,24.2887,24.2887,60.5255,7.29,14651
3,2014-03-30,23.2355,23.2355,45.6189,6.97,13724
3,2014-03-31,12.2831,12.2831,65.2055,3.68,12741
3,2014-04-01,13.374,13.374,68.6556,4.01,13444
3,2014-04-02,11.688,11.688,55.2023,3.51,11283
3,2014-04-03,9.4122,9.4122,32.755,2.82,12615
3,2014-04-04,13.0787,13.0787,55.572,3.92,12839
3,2014-04-05,10.4724,10.4724,67.6534,3.14,14353
3,2014-04-06,61.7452,61.7452,53.9196,18.52,14325
3,2014-04-07,9.9962,9.9962,54.6908,3.0,11941
3,2014-04-08,16.2714,16.2714,54.6973,4.88,11245
3,2014-04-09,12.1779,12.1779,39.8416,3.65,11391
3,2014-04-10,5.3195,5.3195,33.3993,1.6,11655
3,2014-04-11,13.9713,13.9713,40.9175,4.19,12765
3,2014-04-12,9.7935,9.7935,77.2526,2.94,14156
3,2014-04-13,5.5853,5.5853,69.2999,1.68,14301
3,2014-04-14,24.2384,24.2384,68.4602,7.27,12653
3,2014-04-15,18.2198,18.2198,35.9087,5.47,13176
