house,appliance_label,appliance_type,refit_column,samples,sample_seconds,days_covered,active_threshold_w,avg_power_w,max_power_w,total_kwh_window,avg_kwh_day,cost_day_aud,cost_month_aud,usage_events_est,mean_event_duration_min,median_event_duration_min,mean_event_energy_kwh,active_days_ratio,estimated_capacity_band,product_category,peak_usage_ratio,offpeak_usage_ratio,weekend_usage_ratio,night_usage_ratio,behaviour_recommendation,behaviour_priority,estimated_behaviour_saving_aud_month,product_category_intel,benchmark_avg_kwh_day,benchmark_median_kwh_day,benchmark_avg_cost_month_aud,usage_percentile_vs_similar_houses,above_similar_house_avg_pct,intelligent_efficiency_class,recommendation_reason_codes,intelligent_recommendation_summary,behaviour_saving_pct_of_appliance_cost,best_product_saving_aud_month,best_product_name,best_product_store,best_product_payback_months,best_product_intelligent_score,combined_behaviour_product_saving_aud_month
2,Washing Machine,Washing Machine,Appliance2,2906662,6.0,365.0,18.27,85.627,3488.0,414.81358,1.13648,0.34,10.23,14081,4.25,0.3,0.0275,0.655,low-use / standby,washing machine,0.247,0.293,0.381,0.221,Washing Machine shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.53,washing machine,1.958721081081081,1.22083,17.62810810810811,45.9,-42.0,Efficient,frequent usage,"Washing Machine is classified as Efficient. It is 42.0% below the REFIT similar-appliance average, with 14081 detected events and 24.7% peak-hour activity.",15.0,8.23,Smart Plug With Timer,Kmart,2.31,0.3836,9.76
2,Dishwasher,Dishwasher,Appliance3,2906662,6.0,365.0,38.87,91.982,2455.0,445.60137,1.22083,0.37,10.99,1521,32.78,6.3,0.238,0.804,medium-use,washing machine,0.33,0.244,0.312,0.157,Dishwasher shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.65,washing machine,1.958721081081081,1.22083,17.62810810810811,51.4,-37.7,Average,peak-hour usage,"Dishwasher is classified as Average. It is 37.7% below the REFIT similar-appliance average, with 1521 detected events and 33.0% peak-hour activity.",15.0,8.99,Smart Plug With Timer,Kmart,2.11,0.3915,10.64
2,Television,Television,Appliance4,2906662,6.0,365.0,58.14,72.471,2560.0,351.08181,0.96187,0.29,8.66,237,61.6,0.9,0.7968,0.553,high-power / large-use,television,0.217,0.378,0.296,0.298,Television shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.3,television,0.64669,0.36083,5.819047619047619,81.0,48.7,Needs attention,"above similar-house benchmark, higher monthly cost","Television is classified as Needs attention. It is 48.7% above the REFIT similar-appliance average, with 237 detected events and 21.7% peak-hour activity.",15.0,6.66,Smart Plug With Timer,Kmart,2.85,0.4131,7.96
2,Microwave,Microwave,Appliance5,2906662,6.0,365.0,150.0,344.113,2048.0,1667.03471,4.56722,1.37,41.1,1308,114.51,0.3,1.1901,0.867,high-power / large-use,microwave,0.233,0.348,0.299,0.264,Microwave shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,6.17,microwave,1.693406875,0.12358,15.23875,87.5,169.7,Needs attention,"above similar-house benchmark, frequent usage, higher monthly cost","Microwave is classified as Needs attention. It is 169.7% above the REFIT similar-appliance average, with 1308 detected events and 23.3% peak-hour activity.",15.0,39.1,Smart Plug With Timer,Kmart,0.49,0.4914,45.27
2,Toaster,Toaster,Appliance6,2906662,6.0,365.0,150.0,353.2,2048.0,1711.05295,4.68782,1.41,42.19,224,747.38,107.75,7.2185,0.792,high-power / large-use,toaster,0.234,0.342,0.268,0.259,Toaster shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,6.33,toaster,6.3147199999999994,4.68782,56.83111111111111,55.6,-25.8,Average,normal usage pattern,"Toaster is classified as Average. It is 25.8% below the REFIT similar-appliance average, with 224 detected events and 23.4% peak-hour activity.",15.0,40.19,Smart Plug With Timer,Kmart,0.47,0.4616,46.52
2,Hi-Fi,Hi-Fi,Appliance7,2906662,6.0,365.0,21.5,61.001,1536.0,295.51646,0.80963,0.24,7.29,316,190.88,0.25,0.7466,0.369,high-power / large-use,computer,0.229,0.34,0.239,0.259,Hi-Fi shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,medium,0.73,computer,0.41818333333333335,0.179285,3.763888888888889,83.3,93.6,Needs attention,"above similar-house benchmark, higher monthly cost","Hi-Fi is classified as Needs attention. It is 93.6% above the REFIT similar-appliance average, with 316 detected events and 22.9% peak-hour activity.",10.0,5.29,Smart Plug With Timer,Kmart,3.59,0.4093,6.02
2,Kettle,Kettle,Appliance8,2906662,6.0,365.0,150.0,1401.13,3072.0,6787.68693,18.59641,5.58,167.37,1476,173.93,79.45,4.5785,0.969,high-power / large-use,kettle,0.24,0.335,0.275,0.252,Kettle shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,25.11,kettle,16.07417125,13.334344999999999,144.66750000000002,62.5,15.7,Average,"frequent usage, higher monthly cost","Kettle is classified as Average. It is 15.7% above the REFIT similar-appliance average, with 1476 detected events and 24.0% peak-hour activity.",15.0,165.37,Smart Plug With Timer,Kmart,0.11,0.6978,190.48
2,Oven Extractor Fan,Oven Extractor Fan,Appliance9,2906662,6.0,365.0,92.45,59.578,1024.0,288.61995,0.79074,0.24,7.12,20,1791.9,1239.65,4.3982,0.188,high-power / large-use,generic,0.233,0.312,0.25,0.238,Oven Extractor Fan shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,medium,0.71,generic,3.5444526086956527,1.83936,31.899565217391302,39.1,-77.7,Efficient,normal usage pattern,"Oven Extractor Fan is classified as Efficient. It is 77.7% below the REFIT similar-appliance average, with 20 detected events and 23.3% peak-hour activity.",10.0,5.12,Smart Plug With Timer,Kmart,3.71,0.3642,5.83
3,Toaster,Toaster,Appliance1,3947000,5.0,351.716,150.0,588.752,2201.0,3227.5082,9.17647,2.75,82.59,332,873.52,277.83,9.5638,0.977,high-power / large-use,toaster,0.26,0.355,0.278,0.266,Toaster shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,12.39,toaster,6.3147199999999994,4.68782,56.83111111111111,66.7,45.3,Average,"above similar-house benchmark, peak-hour usage, frequent usage, higher monthly cost","Toaster is classified as Average. It is 45.3% above the REFIT similar-appliance average, with 332 detected events and 26.0% peak-hour activity.",15.0,80.59,Smart Plug With Timer,Kmart,0.24,0.5474,92.98
3,Fridge-Freezer,Fridge-Freezer,Appliance2,3947000,5.0,351.716,119.71,99.208,3450.0,543.85518,1.54629,0.46,13.92,2653,10.61,3.33,0.0687,0.977,low-use / standby,fridge,0.258,0.341,0.272,0.257,Fridge-Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,2.09,fridge,0.8247209090909091,0.62875,7.422727272727273,81.8,87.5,Needs attention,"above similar-house benchmark, peak-hour usage, frequent usage, higher monthly cost","Fridge-Freezer is classified as Needs attention. It is 87.5% above the REFIT similar-appliance average, with 2653 detected events and 25.8% peak-hour activity.",15.0,11.92,Smart Plug With Timer,Kmart,1.59,0.43,14.01
3,Freezer,Freezer,Appliance3,3947000,5.0,351.716,103.14,89.393,2140.0,490.04724,1.39331,0.42,12.54,1416,9.35,8.83,0.0649,0.894,low-use / standby,freezer,0.237,0.354,0.241,0.264,Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.88,freezer,1.02615,0.92847,9.235384615384616,76.9,35.8,Average,"above similar-house benchmark, higher monthly cost","Freezer is classified as Average. It is 35.8% above the REFIT similar-appliance average, with 1416 detected events and 23.7% peak-hour activity.",15.0,10.54,Smart Plug With Timer,Kmart,1.8,0.4215,12.42
3,Tumble Dryer,Tumble Dryer,Appliance4,3947000,5.0,351.716,150.0,1047.49,2820.0,5742.28341,16.32649,4.9,146.94,1998,134.57,7.08,2.8386,0.929,high-power / large-use,generic,0.243,0.336,0.288,0.253,Tumble Dryer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,22.04,generic,3.5444526086956527,1.83936,31.899565217391302,95.7,360.6,Needs attention,"above similar-house benchmark, higher monthly cost","Tumble Dryer is classified as Needs attention. It is 360.6% above the REFIT similar-appliance average, with 1998 detected events and 24.3% peak-hour activity.",15.0,144.94,Smart Plug With Timer,Kmart,0.13,0.6938,166.98
3,Dishwasher,Dishwasher,Appliance5,3947000,5.0,351.716,19.67,109.895,3840.0,602.43974,1.71286,0.51,15.42,1534,29.32,3.46,0.3671,0.666,medium-use,washing machine,0.243,0.277,0.259,0.216,Dishwasher shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,2.31,washing machine,1.958721081081081,1.22083,17.62810810810811,67.6,-12.6,Average,normal usage pattern,"Dishwasher is classified as Average. It is 12.6% below the REFIT similar-appliance average, with 1534 detected events and 24.3% peak-hour activity.",15.0,13.42,Smart Plug With Timer,Kmart,1.42,0.4195,15.73
3,Washing Machine,Washing Machine,Appliance6,3947000,5.0,351.716,29.46,98.749,2746.0,541.33481,1.53913,0.46,13.85,20989,3.57,0.25,0.0246,0.72,low-use / standby,washing machine,0.234,0.283,0.252,0.209,Washing Machine shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,2.08,washing machine,1.958721081081081,1.22083,17.62810810810811,64.9,-21.4,Average,frequent usage,"Washing Machine is classified as Average. It is 21.4% below the REFIT similar-appliance average, with 20989 detected events and 23.4% peak-hour activity.",15.0,11.85,Smart Plug With Timer,Kmart,1.6,0.4129,13.93
3,Television,Television,Appliance7,3947000,5.0,351.716,150.0,91.479,3728.0,501.48146,1.42582,0.43,12.83,29,119.22,0.75,1.5692,0.077,high-power / large-use,television,0.085,0.566,0.448,0.492,Television shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.92,television,0.64669,0.36083,5.819047619047619,90.5,120.5,Needs attention,"above similar-house benchmark, higher monthly cost","Television is classified as Needs attention. It is 120.5% above the REFIT similar-appliance average, with 29 detected events and 8.5% peak-hour activity.",15.0,10.83,Smart Plug With Timer,Kmart,1.75,0.4359,12.75
3,Microwave,Microwave,Appliance8,3947000,5.0,351.716,45.83,106.038,2688.0,581.29653,1.65275,0.5,14.87,670,109.48,0.83,0.7559,0.704,high-power / large-use,microwave,0.226,0.354,0.276,0.273,Microwave shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,2.23,microwave,1.693406875,0.12358,15.23875,75.0,-2.4,Average,normal usage pattern,"Microwave is classified as Average. It is 2.4% below the REFIT similar-appliance average, with 670 detected events and 22.6% peak-hour activity.",15.0,12.87,Smart Plug With Timer,Kmart,1.48,0.4255,15.1
3,Kettle,Kettle,Appliance9,3947000,5.0,351.716,150.0,951.671,2268.0,5217.00616,14.83302,4.45,133.5,2043,144.73,49.0,2.5354,0.99,high-power / large-use,kettle,0.244,0.348,0.284,0.262,Kettle shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,20.02,kettle,16.07417125,13.334344999999999,144.66750000000002,56.2,-7.7,Average,frequent usage,"Kettle is classified as Average. It is 7.7% below the REFIT similar-appliance average, with 2043 detected events and 24.4% peak-hour activity.",15.0,131.5,Smart Plug With Timer,Kmart,0.14,0.6299,151.52
4,Fridge,Fridge,Appliance1,384523,4.0,365.0,64.84,67.299,2080.0,28.7535,0.07878,0.02,0.71,211,9.8,0.4,0.0629,0.943,low-use / standby,fridge,0.127,0.582,0.087,0.512,Fridge shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.04,fridge,0.8247209090909091,0.62875,7.422727272727273,4.5,-90.4,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 90.4% below the REFIT similar-appliance average, with 211 detected events and 12.7% peak-hour activity.",5.6,0.0,Smart Plug With Timer,Kmart,,0.2332,0.04
4,Freezer,Freezer,Appliance2,384523,4.0,365.0,150.0,122.75,2202.0,52.44448,0.14368,0.04,1.29,754,7.1,6.2,0.0206,1.0,low-use / standby,freezer,0.262,0.346,0.169,0.256,Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,freezer,1.02615,0.92847,9.235384615384616,30.8,-86.0,Average,peak-hour usage,"Freezer is classified as Average. It is 86.0% below the REFIT similar-appliance average, with 754 detected events and 26.2% peak-hour activity.",4.7,0.0,Freezer Timer Reminder Plug,Kmart,,0.2595,0.06
4,Fridge-Freezer,Fridge-Freezer,Appliance3,384523,4.0,365.0,150.0,111.946,2048.0,47.82859,0.13104,0.04,1.18,401,2.66,0.27,0.0179,0.943,low-use / standby,fridge,0.261,0.377,0.253,0.306,Fridge-Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,fridge,0.8247209090909091,0.62875,7.422727272727273,13.6,-84.1,Average,peak-hour usage,"Fridge-Freezer is classified as Average. It is 84.1% below the REFIT similar-appliance average, with 401 detected events and 26.1% peak-hour activity.",5.1,0.0,Smart Plug With Timer,Kmart,,0.2423,0.06
4,Washing Machine 1,Washing Machine 1,Appliance4,384523,4.0,365.0,148.71,230.168,2566.0,98.33882,0.26942,0.08,2.42,82,66.05,0.13,1.1288,0.286,high-power / large-use,washing machine,0.242,0.365,0.145,0.286,Washing Machine 1 shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.12,washing machine,1.958721081081081,1.22083,17.62810810810811,18.9,-86.2,Efficient,normal usage pattern,"Washing Machine 1 is classified as Efficient. It is 86.2% below the REFIT similar-appliance average, with 82 detected events and 24.2% peak-hour activity.",5.0,0.42,Smart Plug With Timer,Kmart,44.73,0.2579,0.54
4,Washing Machine 2,Washing Machine 2,Appliance5,384523,4.0,365.0,86.19,114.911,2693.0,49.09544,0.13451,0.04,1.21,328,13.81,0.13,0.1183,0.6,medium-use,washing machine,0.238,0.334,0.177,0.261,Washing Machine 2 shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,washing machine,1.958721081081081,1.22083,17.62810810810811,8.1,-93.1,Efficient,normal usage pattern,"Washing Machine 2 is classified as Efficient. It is 93.1% below the REFIT similar-appliance average, with 328 detected events and 23.8% peak-hour activity.",5.0,0.0,Smart Plug With Timer,Kmart,,0.2368,0.06
4,Computer Site,Computer Site,Appliance6,384523,4.0,365.0,10.5,16.231,153.0,6.93479,0.019,0.01,0.17,850,3.55,0.13,0.004,0.914,low-use / standby,computer,0.223,0.191,0.144,0.136,Computer Site shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.01,computer,0.41818333333333335,0.179285,3.763888888888889,5.6,-95.5,Efficient,normal usage pattern,"Computer Site is classified as Efficient. It is 95.5% below the REFIT similar-appliance average, with 850 detected events and 22.3% peak-hour activity.",5.9,0.0,Smart Plug With Timer,Kmart,,0.2343,0.01
4,Television Site,Television Site,Appliance7,384523,4.0,365.0,74.2,45.045,742.0,19.24533,0.05273,0.02,0.47,9825,0.64,0.27,0.0009,1.0,low-use / standby,television,0.402,0.255,0.187,0.156,Television Site is used often during peak hours. Try shifting flexible usage to off-peak times to reduce cost.,low,0.09,television,0.64669,0.36083,5.819047619047619,19.0,-91.8,Average,"peak-hour usage, frequent usage","Television Site is classified as Average. It is 91.8% below the REFIT similar-appliance average, with 9825 detected events and 40.2% peak-hour activity.",19.1,0.0,Standby Saver Powerboard,Kmart,,0.2477,0.09
4,Microwave,Microwave,Appliance8,384523,4.0,365.0,10.0,22.094,3074.0,9.43963,0.02586,0.01,0.23,178,6.4,1.13,0.0484,0.914,low-use / standby,microwave,0.37,0.25,0.055,0.15,Microwave is used often during peak hours. Try shifting flexible usage to off-peak times to reduce cost.,low,0.04,microwave,1.693406875,0.12358,15.23875,25.0,-98.5,Average,peak-hour usage,"Microwave is classified as Average. It is 98.5% below the REFIT similar-appliance average, with 178 detected events and 37.0% peak-hour activity.",17.4,0.0,Smart Plug With Timer,Kmart,,0.2537,0.04
4,Kettle,Kettle,Appliance9,384523,4.0,365.0,150.0,1036.737,1997.0,442.94359,1.21354,0.36,10.92,110,203.18,153.2,4.0015,1.0,high-power / large-use,kettle,0.228,0.356,0.18,0.271,Kettle shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.64,kettle,16.07417125,13.334344999999999,144.66750000000002,6.2,-92.5,Efficient,normal usage pattern,"Kettle is classified as Efficient. It is 92.5% below the REFIT similar-appliance average, with 110 detected events and 22.8% peak-hour activity.",15.0,8.92,Smart Plug With Timer,Kmart,2.13,0.3461,10.56
5,Fridge-Freezer,Fridge-Freezer,Appliance1,3947000,5.0,334.082,150.0,59.753,2807.0,327.56469,0.98049,0.29,8.82,1946,3.26,0.17,0.0211,0.973,low-use / standby,fridge,0.338,0.191,0.329,0.154,Fridge-Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.32,fridge,0.8247209090909091,0.62875,7.422727272727273,72.7,18.9,Average,"peak-hour usage, frequent usage, higher monthly cost","Fridge-Freezer is classified as Average. It is 18.9% above the REFIT similar-appliance average, with 1946 detected events and 33.8% peak-hour activity.",15.0,6.82,Smart Plug With Timer,Kmart,2.78,0.4054,8.14
5,Tumble Dryer,Tumble Dryer,Appliance2,3947000,5.0,334.082,150.0,427.503,3922.0,2343.5466,7.01489,2.1,63.13,4937,35.47,1.25,0.4471,0.814,medium-use,generic,0.25,0.316,0.31,0.241,Tumble Dryer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,9.47,generic,3.5444526086956527,1.83936,31.899565217391302,87.0,97.9,Needs attention,"above similar-house benchmark, peak-hour usage, frequent usage, higher monthly cost","Tumble Dryer is classified as Needs attention. It is 97.9% above the REFIT similar-appliance average, with 4937 detected events and 25.0% peak-hour activity.",15.0,61.13,Smart Plug With Timer,Kmart,0.31,0.5319,70.6
5,Washing Machine,Washing Machine,Appliance3,3947000,5.0,334.082,49.65,147.002,2285.0,805.856,2.41215,0.72,21.71,9390,8.01,0.25,0.0831,0.727,low-use / standby,washing machine,0.248,0.323,0.205,0.243,Washing Machine shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,3.26,washing machine,1.958721081081081,1.22083,17.62810810810811,78.4,23.1,Average,"above similar-house benchmark, frequent usage, higher monthly cost","Washing Machine is classified as Average. It is 23.1% above the REFIT similar-appliance average, with 9390 detected events and 24.8% peak-hour activity.",15.0,19.71,Smart Plug With Timer,Kmart,0.96,0.4443,22.97
5,Dishwasher,Dishwasher,Appliance4,3947000,5.0,334.082,10.0,65.96,2587.0,361.58648,1.08233,0.32,9.74,3912,15.47,0.67,0.0868,0.883,low-use / standby,washing machine,0.215,0.374,0.265,0.336,Dishwasher shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.46,washing machine,1.958721081081081,1.22083,17.62810810810811,40.5,-44.7,Efficient,normal usage pattern,"Dishwasher is classified as Efficient. It is 44.7% below the REFIT similar-appliance average, with 3912 detected events and 21.5% peak-hour activity.",15.0,7.74,Smart Plug With Timer,Kmart,2.45,0.3765,9.2
5,Computer Site,Computer Site,Appliance5,3947000,5.0,334.082,121.5,42.513,2191.0,233.0559,0.6976,0.21,6.28,42323,0.64,0.17,0.0015,0.772,low-use / standby,computer,0.394,0.162,0.336,0.121,Computer Site is used often during peak hours. Try shifting flexible usage to off-peak times to reduce cost.,high,1.13,computer,0.41818333333333335,0.179285,3.763888888888889,77.8,66.8,Average,"above similar-house benchmark, peak-hour usage, frequent usage, higher monthly cost","Computer Site is classified as Average. It is 66.8% above the REFIT similar-appliance average, with 42323 detected events and 39.4% peak-hour activity.",18.0,4.28,Smart Plug With Timer,Kmart,4.44,0.398,5.41
5,Television Site,Television Site,Appliance6,3947000,5.0,334.082,81.14,37.102,3501.0,203.39121,0.60881,0.18,5.48,8682,2.13,0.33,0.005,0.595,low-use / standby,television,0.514,0.07,0.279,0.062,Television Site is used often during peak hours. Try shifting flexible usage to off-peak times to reduce cost.,high,0.99,television,0.64669,0.36083,5.819047619047619,61.9,-5.9,Needs attention,"peak-hour usage, frequent usage","Television Site is classified as Needs attention. It is 5.9% below the REFIT similar-appliance average, with 8682 detected events and 51.4% peak-hour activity.",18.1,3.48,Smart Plug With Timer,Kmart,5.46,0.3763,4.47
5,Combination Microwave,Combination Microwave,Appliance7,3947000,5.0,334.082,133.26,212.507,2905.0,1164.95396,3.48703,1.05,31.38,3289,21.49,0.92,0.3308,0.961,medium-use,microwave,0.223,0.313,0.369,0.243,Combination Microwave shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,4.71,microwave,1.693406875,0.12358,15.23875,81.2,105.9,Needs attention,"above similar-house benchmark, frequent usage, higher monthly cost","Combination Microwave is classified as Needs attention. It is 105.9% above the REFIT similar-appliance average, with 3289 detected events and 22.3% peak-hour activity.",15.0,29.38,Smart Plug With Timer,Kmart,0.65,0.4665,34.09
